time,x,y,H
0.599,0.00159466,923.375,11.2525
0.6,0.0015684,922.452,11.2527
0.601,0.0015426,921.53,11.2528
0.602,0.00151725,920.608,11.253
0.603,0.00149235,919.687,11.2531
0.604,0.00146789,918.768,11.2532
0.605,0.00144385,917.849,11.2534
0.606,0.00142023,916.931,11.2535
0.607,0.00139703,916.014,11.2536
0.608,0.00137423,915.098,11.2538
0.609,0.00135183,914.183,11.2539
0.61,0.00132981,913.269,11.254
0.611,0.00130818,912.356,11.2542
0.612,0.00128693,911.443,11.2543
0.613,0.00126604,910.532,11.2545
0.614,0.00124552,909.621,11.2546
0.615,0.00122535,908.712,11.2547
0.616,0.00120553,907.803,11.2549
0.617,0.00118606,906.895,11.255
0.618,0.00116692,905.988,11.2551
0.619,0.00114811,905.083,11.2553
0.62,0.00112962,904.177,11.2554
0.621,0.00111145,903.273,11.2555
0.622,0.0010936,902.37,11.2556
0.623,0.00107605,901.468,11.2558
0.624,0.0010588,900.566,11.2559
0.625,0.00104184,899.666,11.256
0.626,0.00102518,898.766,11.2562
0.627,0.0010088,897.867,11.2563
0.628,0.000992707,896.969,11.2564
0.629,0.000976884,896.072,11.2566
0.63,0.00096133,895.176,11.2567
0.631,0.000946042,894.281,11.2568
0.632,0.000931013,893.387,11.2569
0.633,0.00091624,892.494,11.2571
0.634,0.000901718,891.601,11.2572
0.635,0.000887442,890.709,11.2573
0.636,0.000873408,889.819,11.2575
0.637,0.000859611,888.929,11.2576
0.638,0.000846047,888.04,11.2577
0.639,0.000832713,887.152,11.2578
0.64,0.000819604,886.265,11.258
0.641,0.000806715,885.379,11.2581
0.642,0.000794044,884.493,11.2582
0.643,0.000781585,883.609,11.2583
0.644,0.000769336,882.725,11.2585
0.645,0.000757292,881.842,11.2586
0.646,0.000745451,880.961,11.2587
0.647,0.000733807,880.08,11.2588
0.648,0.000722359,879.2,11.259
0.649,0.000711102,878.32,11.2591
0.65,0.000700032,877.442,11.2592
0.651,0.000689148,876.565,11.2593
0.652,0.000678444,875.688,11.2595
0.653,0.000667919,874.812,11.2596
0.654,0.000657569,873.938,11.2597
0.655,0.00064739,873.064,11.2598
0.656,0.000637381,872.191,11.2599
0.657,0.000627537,871.318,11.2601
0.658,0.000617857,870.447,11.2602
0.659,0.000608336,869.577,11.2603
0.66,0.000598973,868.707,11.2604
0.661,0.000589764,867.838,11.2605
0.662,0.000580707,866.971,11.2607
0.663,0.0005718,866.104,11.2608
0.664,0.000563039,865.237,11.2609
0.665,0.000554421,864.372,11.261
0.666,0.000545946,863.508,11.2611
0.667,0.000537609,862.644,11.2613
0.668,0.000529409,861.782,11.2614
0.669,0.000521343,860.92,11.2615
0.67,0.000513409,860.059,11.2616
0.671,0.000505605,859.199,11.2617
0.672,0.000497928,858.34,11.2619
0.673,0.000490376,857.481,11.262
0.674,0.000482947,856.624,11.2621
0.675,0.000475638,855.767,11.2622
0.676,0.000468449,854.912,11.2623
0.677,0.000461376,854.057,11.2624
0.678,0.000454418,853.203,11.2626
0.679,0.000447573,852.349,11.2627
0.68,0.000440838,851.497,11.2628
0.681,0.000434212,850.646,11.2629
0.682,0.000427694,849.795,11.263
0.683,0.00042128,848.945,11.2631
0.684,0.00041497,848.096,11.2632
0.685,0.000408761,847.248,11.2634
0.686,0.000402652,846.401,11.2635
0.687,0.000396641,845.554,11.2636
0.688,0.000390727,844.709,11.2637
0.689,0.000384907,843.864,11.2638
0.69,0.000379181,843.02,11.2639
0.691,0.000373546,842.177,11.264
0.692,0.000368001,841.335,11.2642
0.693,0.000362545,840.494,11.2643
0.694,0.000357176,839.653,11.2644
0.695,0.000351892,838.814,11.2645
0.696,0.000346692,837.975,11.2646
0.697,0.000341575,837.137,11.2647
0.698,0.00033654,836.3,11.2648
0.699,0.000331584,835.463,11.2649
0.7,0.000326706,834.628,11.265
0.701,0.000321906,833.793,11.2651
0.702,0.000317182,832.96,11.2653
0.703,0.000312532,832.127,11.2654
0.704,0.000307956,831.294,11.2655
0.705,0.000303452,830.463,11.2656
0.706,0.000299019,829.633,11.2657
0.707,0.000294655,828.803,11.2658
0.708,0.00029036,827.974,11.2659
0.709,0.000286133,827.146,11.266
0.71,0.000281972,826.319,11.2661
0.711,0.000277876,825.493,11.2662
0.712,0.000273844,824.667,11.2663
0.713,0.000269875,823.843,11.2665
0.714,0.000265968,823.019,11.2666
0.715,0.000262122,822.196,11.2667
0.716,0.000258336,821.374,11.2668
0.717,0.000254609,820.552,11.2669
0.718,0.00025094,819.732,11.267
0.719,0.000247327,818.912,11.2671
0.72,0.000243771,818.093,11.2672
0.721,0.00024027,817.275,11.2673
0.722,0.000236823,816.458,11.2674
0.723,0.00023343,815.641,11.2675
0.724,0.000230089,814.826,11.2676
0.725,0.000226799,814.011,11.2677
0.726,0.000223561,813.197,11.2678
0.727,0.000220372,812.384,11.2679
0.728,0.000217232,811.571,11.268
0.729,0.000214141,810.76,11.2681
0.73,0.000211096,809.949,11.2682
0.731,0.000208099,809.139,11.2683
0.732,0.000205148,808.33,11.2684
0.733,0.000202241,807.522,11.2685
0.734,0.00019938,806.714,11.2686
0.735,0.000196562,805.907,11.2687
0.736,0.000193786,805.101,11.2688
